Test ID:	Date Tested:	Time:	Test Type:	Diameter Avg. (mm):	Cyl. Corr. Factor:	Height (mm):	Age (days):	Weight (kN):	Break Type:	Ramp Rate (MPa/s):	Load at Break (kN):	Stress at Break (MPa):
12	6/6/2021	2:06	Cylinder	150	1	300	0	13.39	Invalid/No Break	0.25	1625.29	91.97
Column1	Sample Time	Load (kN)	Stress (MPa)	Long. Strain	Trans. Strain	Chan1 Deflection (mm)	Chan2 Deflection (mm)					
8.00	00:47.7	208.9730025	11.82450874	0	0.000885	0	0					
9.00	00:47.8	209.8493022	11.87277204	0	0.000885	0	0					
10.00	00:47.9	209.8493022	11.87277204	0	0.000885	0	0					
1.00	00:48.0	210.0272311	11.88656155	0	0.000885	0	0					
2.00	00:48.1	210.9079789	11.93482485	0	0.000885	0	0					
3.00	00:48.2	210.9079789	11.93482485	0	0.000885	0	0					
4.00	00:48.3	210.9079789	11.93482485	0	0.000885	0	0					
5.00	00:48.4	212.1401363	12.00377242	0	0.000885	0	0					
6.00	00:48.5	212.313617	12.01756194	0	0.000885	0	0					
7.00	00:48.6	213.136538	12.05893048	0	0.000885	0	0					
8.00	00:48.7	213.136538	12.05893048	0	0.000885	0	0					
9.00	00:48.8	213.7237032	12.09340427	0	0.000885	0	0					
10.00	00:48.9	213.9550107	12.10719378	0	0.000885	0	0					
1.00	00:49.0	213.9550107	12.10719378	0	0.000885	0	0					
2.00	00:49.1	214.7201049	12.14856233	0	0.000885	0	0					
3.00	00:49.2	215.365097	12.18993087	0	0.000885	0	0					
4.00	00:49.3	216.2458449	12.23819417	0	0.000885	0	0					
5.00	00:49.4	216.2458449	12.23819417	0	0.000885	0	0					
6.00	00:49.5	216.3036717	12.23819417	0	0.000885	0	0					
7.00	00:49.6	217.4157271	12.30024699	0	0.000885	0	0					
8.00	00:49.7	217.4157271	12.30024699	0	0.000885	0	0					
9.00	00:49.8	217.4157271	12.30024699	0	0.000885	0	0					
10.00	00:49.9	218.5900576	12.36919456	0	0.000885	0	0					
1.00	00:50.0	218.999294	12.38987883	0	0.000885	0	0					
2.00	00:50.1	219.5286324	12.42435262	0	0.000885	0	0					
3.00	00:50.2	219.5286324	12.42435262	0	0.000885	0	0					
4.00	00:50.3	220.525034	12.47951068	0	0.000885	0	0					
5.00	00:50.4	220.5828609	12.47951068	0	0.000885	0	0					
6.00	00:50.5	221.6415377	12.54156349	0	0.000885	0	0					
7.00	00:50.6	221.6415377	12.54156349	0	0.000885	0	0					
8.00	00:50.7	222.1086009	12.56914252	0	0.000885	0	0					
9.00	00:50.8	222.873695	12.61051107	0	0.000885	0	0					
10.00	00:50.9	223.2251046	12.63119534	0	0.000885	0	0					
